<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20230323,143000,158.83,159.48,158.73,159.2577,1912129,0
AAPL.US,5,20230323,143500,159.2415,159.41,158.99,159.1786,898189,0
AAPL.US,5,20230323,144000,159.17,159.56,158.91,159.17,932285,0
AAPL.US,5,20230323,144500,159.165,159.53,159.03,159.18,923802,0
AAPL.US,5,20230323,145000,159.19,159.33,159,159.3,649390,0
AAPL.US,5,20230323,145500,159.3087,159.78,159.28,159.67,895383,0
AAPL.US,5,20230323,150000,159.67,160.065,159.54,159.75,1210449,0
AAPL.US,5,20230323,150500,159.74,159.9199,159.61,159.895,576621,0
AAPL.US,5,20230323,151000,159.8702,160.3,159.865,160.0682,720375,0
AAPL.US,5,20230323,151500,160.07,160.36,160.02,160.25,713136,0
AAPL.US,5,20230323,152000,160.26,160.51,160.1,160.48,644755,0
AAPL.US,5,20230323,152500,160.465,160.7,160.37,160.37,744305,0
AAPL.US,5,20230323,153000,160.3787,160.42,160.12,160.31,534976,0
AAPL.US,5,20230323,153500,160.31,160.55,160.2201,160.51,396625,0
AAPL.US,5,20230323,154000,160.5,160.7673,160.47,160.73,501962,0
AAPL.US,5,20230323,154500,160.725,161.17,160.69,161.08,758837,0
AAPL.US,5,20230323,155000,161.085,161.21,161.085,161.14,543730,0
AAPL.US,5,20230323,155500,161.14,161.2999,160.91,161.235,675831,0
AAPL.US,5,20230323,160000,161.24,161.39,161.14,161.17,483450,0
AAPL.US,5,20230323,160500,161.17,161.5501,161.13,161.415,686003,0
AAPL.US,5,20230323,161000,161.42,161.49,161.31,161.3499,397081,0
AAPL.US,5,20230323,161500,161.34,161.3599,160.7,160.77,761493,0
AAPL.US,5,20230323,162000,160.775,161,160.76,160.8864,473997,0
AAPL.US,5,20230323,162500,160.89,160.89,160.5425,160.61,520423,0
AAPL.US,5,20230323,163000,160.62,160.89,160.6,160.685,454300,0
AAPL.US,5,20230323,163500,160.68,160.8758,160.62,160.755,391637,0
AAPL.US,5,20230323,164000,160.7513,160.89,160.49,160.54,508012,0
AAPL.US,5,20230323,164500,160.545,160.8262,160.36,160.7986,415693,0
AAPL.US,5,20230323,165000,160.795,160.99,160.79,160.91,396959,0
AAPL.US,5,20230323,165500,160.93,160.935,160.36,160.6402,649825,0
AAPL.US,5,20230323,170000,160.645,160.72,160.5281,160.6399,258299,0
AAPL.US,5,20230323,170500,160.63,160.7999,160.52,160.75,273492,0
AAPL.US,5,20230323,171000,160.74,160.8199,160.53,160.789,416734,0
AAPL.US,5,20230323,171500,160.8,160.84,160.52,160.83,391114,0
AAPL.US,5,20230323,172000,160.8299,160.88,160.5599,160.8593,330270,0
AAPL.US,5,20230323,172500,160.85,161,160.8,160.8691,397431,0
AAPL.US,5,20230323,173000,160.8675,161.02,160.82,160.925,421148,0
AAPL.US,5,20230323,173500,160.93,160.97,160.609,160.64,372804,0
AAPL.US,5,20230323,174000,160.64,160.68,160.42,160.64,424569,0
AAPL.US,5,20230323,174500,160.63,160.645,160.33,160.59,327416,0
AAPL.US,5,20230323,175000,160.5902,160.5938,160.375,160.5059,286744,0
AAPL.US,5,20230323,175500,160.5,160.51,160.31,160.41,340402,0
AAPL.US,5,20230323,180000,160.41,160.49,160.2509,160.47,305035,0
AAPL.US,5,20230323,180500,160.4675,160.64,160.13,160.19,408807,0
AAPL.US,5,20230323,181000,160.2,160.2742,159.854,160.025,653318,0
AAPL.US,5,20230323,181500,160.02,160.095,159.8,160.031,433848,0
AAPL.US,5,20230323,182000,160.03,160.29,159.99,160.13,337167,0
AAPL.US,5,20230323,182500,160.19,160.2,159.62,159.82,734010,0
AAPL.US,5,20230323,183000,159.82,160.07,159.75,159.8206,299132,0
AAPL.US,5,20230323,183500,159.81,160.07,159.76,160.06,404163,0
AAPL.US,5,20230323,184000,160.04,160.27,160.005,160.19,382426,0
AAPL.US,5,20230323,184500,160.18,160.21,159.77,159.9,379527,0
AAPL.US,5,20230323,185000,159.907,159.95,159.7,159.7595,367857,0
AAPL.US,5,20230323,185500,159.76,159.8418,159.52,159.61,424372,0
AAPL.US,5,20230323,190000,159.6024,159.83,159.44,159.51,497589,0
AAPL.US,5,20230323,190500,159.52,159.62,159.325,159.35,422493,0
AAPL.US,5,20230323,191000,159.35,159.69,159.33,159.6299,441649,0
AAPL.US,5,20230323,191500,159.62,159.71,159.4,159.485,345099,0
AAPL.US,5,20230323,192000,159.49,159.53,159.18,159.3,620110,0
AAPL.US,5,20230323,192500,159.3,159.34,158.675,158.68,716791,0
AAPL.US,5,20230323,193000,158.68,158.88,158.55,158.67,590518,0
AAPL.US,5,20230323,193500,158.68,158.88,158.15,158.16,753005,0
AAPL.US,5,20230323,194000,158.16,158.24,157.7,157.77,900765,0
AAPL.US,5,20230323,194500,157.79,158.24,157.79,158.195,983655,0
AAPL.US,5,20230323,195000,158.19,158.395,157.9434,157.9434,705644,0
AAPL.US,5,20230323,195500,157.94,158.63,157.82,158.61,795437,0
AAPL.US,5,20230323,200000,158.6005,159.5,158.59,158.81,1504764,0
AAPL.US,5,20230323,200500,158.84,158.92,158.36,158.86,698728,0
AAPL.US,5,20230323,201000,158.86,159.12,158.49,158.7179,647817,0
AAPL.US,5,20230323,201500,158.72,158.9,157.99,158.0856,868901,0
AAPL.US,5,20230323,202000,158.075,158.53,157.68,158.4601,823972,0
AAPL.US,5,20230323,202500,158.4701,158.71,158.34,158.37,558792,0
AAPL.US,5,20230323,203000,158.36,158.52,158.09,158.43,701493,0
AAPL.US,5,20230323,203500,158.44,158.85,158.41,158.56,750579,0
