<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20230131,153000,142.7,143.45,142.35,143.35,1920069,0
AAPL.US,5,20230131,153500,143.3615,143.39,142.42,142.55,1303231,0
AAPL.US,5,20230131,154000,142.54,143.11,142.28,142.68,1163361,0
AAPL.US,5,20230131,154500,142.6801,143.72,142.38,143.64,1184742,0
AAPL.US,5,20230131,155000,143.64,143.75,142.83,142.9981,825370,0
AAPL.US,5,20230131,155500,143.01,143.08,142.59,142.6456,812465,0
AAPL.US,5,20230131,160000,142.65,142.909,142.41,142.56,747866,0
AAPL.US,5,20230131,160500,142.5612,143.15,142.54,142.72,755391,0
AAPL.US,5,20230131,161000,142.7,143.18,142.6,143.08,646797,0
AAPL.US,5,20230131,161500,143.08,143.34,142.98,143.1182,517587,0
AAPL.US,5,20230131,162000,143.12,143.145,142.63,142.8,672441,0
AAPL.US,5,20230131,162500,142.81,143.23,142.66,143.17,636148,0
AAPL.US,5,20230131,163000,143.19,143.35,143.11,143.27,490846,0
AAPL.US,5,20230131,163500,143.28,143.32,143.08,143.11,364163,0
AAPL.US,5,20230131,164000,143.1061,143.23,142.96,143.14,371557,0
AAPL.US,5,20230131,164500,143.1365,143.17,142.8,142.96,484831,0
AAPL.US,5,20230131,165000,142.98,143.29,142.81,142.9176,533038,0
AAPL.US,5,20230131,165500,142.915,143.23,142.89,143.16,370268,0
AAPL.US,5,20230131,170000,143.17,143.4299,143.17,143.272,512331,0
AAPL.US,5,20230131,170500,143.275,143.2752,143.142,143.2206,271065,0
AAPL.US,5,20230131,171000,143.23,143.29,142.99,143.22,324359,0
AAPL.US,5,20230131,171500,143.21,143.42,143.11,143.35,405729,0
AAPL.US,5,20230131,172000,143.36,143.41,143.21,143.3,333936,0
AAPL.US,5,20230131,172500,143.3,143.59,143.18,143.54,448117,0
AAPL.US,5,20230131,173000,143.525,143.615,143.38,143.41,399506,0
AAPL.US,5,20230131,173500,143.405,143.64,143.31,143.37,322698,0
AAPL.US,5,20230131,174000,143.38,143.5,143.28,143.3,247791,0
AAPL.US,5,20230131,174500,143.33,143.485,143.2,143.24,273009,0
AAPL.US,5,20230131,175000,143.24,143.47,143.16,143.415,297657,0
AAPL.US,5,20230131,175500,143.405,143.48,143.25,143.2583,273813,0
AAPL.US,5,20230131,180000,143.26,143.305,142.98,143.12,409437,0
AAPL.US,5,20230131,180500,143.1299,143.365,143.08,143.31,298482,0
AAPL.US,5,20230131,181000,143.32,143.33,143.15,143.2801,221635,0
AAPL.US,5,20230131,181500,143.2993,143.64,143.245,143.52,388034,0
AAPL.US,5,20230131,182000,143.54,143.57,143.34,143.41,242451,0
AAPL.US,5,20230131,182500,143.4101,143.635,143.4101,143.535,342935,0
AAPL.US,5,20230131,183000,143.52,143.56,143.4,143.52,186450,0
AAPL.US,5,20230131,183500,143.51,143.62,143.41,143.535,206753,0
AAPL.US,5,20230131,184000,143.53,143.64,143.51,143.53,197605,0
AAPL.US,5,20230131,184500,143.525,143.6107,143.525,143.56,180316,0
AAPL.US,5,20230131,185000,143.57,143.66,143.44,143.585,305763,0
AAPL.US,5,20230131,185500,143.58,143.62,143.45,143.535,144749,0
AAPL.US,5,20230131,190000,143.54,143.6071,143.44,143.585,189048,0
AAPL.US,5,20230131,190500,143.58,143.59,143.4717,143.49,160625,0
AAPL.US,5,20230131,191000,143.4875,143.5463,143.31,143.43,305911,0
AAPL.US,5,20230131,191500,143.435,143.44,143.315,143.395,229481,0
AAPL.US,5,20230131,192000,143.395,143.44,143.16,143.23,519576,0
AAPL.US,5,20230131,192500,143.22,143.435,143.195,143.415,257911,0
